fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1035,405,101.657,46.981,0,.11753372,0,.22138728,90.689789,.096339114,4.4183044,.11477955,.10295761,0,1987,1016.726092896175,12769.51092896175,9.032509289617487,8.928703688524591,.1038056010928962,.90581053,125613.69,1021.1358
1035,483,134.164,60.853,0,.11275416,0,.22388171,92.84288,.092421442,4.4112754,.1135906,.10344732,0,1982,1171.302837105515,,15.9834724258846,,,,,
1035,366,88.276,32.646,0,0,0,.23254481,90.1362,.089605734,3.6035843,.1159685,.097562723,0,1997,1099.588346258646,8310.182561307902,6.227728044435129,6.369540033535946,-.1418119891008174,.56506622,94138.641,-1606.4614
1035,559,137.694,59.909,0,.11275416,0,.22388171,92.84288,.092421442,4.4112754,.1135906,.10344732,0,1978,1123.698863636364,,17.98828059440559,,,,,
1035,326,82.46599999999999,35.924,0,.082568809,0,.22587156,91.600914,.057339448,4.0749998,.1159685,.1028555,0,1992,1211.973842592593,9094.622800925925,7.997099768518519,6.667060879629629,1.330038888888889,.3373287,110283.3,16128.33
1037,256,59.172,16.171,0,0,0,.15000001,25,0,4,.033645999,.079999998,0,1987,686.8233606557377,4446.576912568306,2.06615806010929,1.989370355191257,.0767877049180328,.078209698,75146.641,1297.7034
1037,191,40.832,11.573,0,0,0,.15000001,25,0,4,.0339977,.079999998,0,1992,757.7848379629629,4722.601851851851,1.680619791666667,1.642067939814815,.0385518518518519,.02048067,115659.34,944.15784
1037,228,39.422,11.295,0,0,0,.15000001,25,0,4,.0339977,.079999998,0,2002,1350,6840,1.474,1.761,-.287,.024,173507.17,-7280.1987
1037,213,41.716,15.416,0,0,0,.15000001,25,0,4,.0339977,.079999998,0,1997,1479.208132466988,6426.264829176273,1.443209704464473,1.453027457556068,-.0098177530915951,.016362922,154047.97,-235.34743
1037,281,61.062,15.816,0,0,0,.15000001,25,0,4,.033294301,.079999998,0,1978,909.8776223776224,,9.583286057692309,,,,,
1037,299,61.845,17.059,0,0,0,.15000001,25,0,4,.033294301,.079999998,0,1982,824.5573796620976,,3.800927478482627,,,,,
1043,2301,231.4,113.067,0,0,.077244259,.2627975,67.835075,0,2.6753654,.042610701,.15417537,0,2002,3167,101644,337.46,221.135,116.325,1.075,439256.69,502700.94
1043,2151,202.861,115.493,0,0,.077244259,.2627975,67.835075,0,2.6753654,.042610701,.15417537,0,1997,2887.510270383567,76004.68098931042,364.5091733389227,301.7780945294488,62.73107880947391,.39598268,374663.84,309231.84
1043,2420,222.53,115.692,0,0,0,.25531557,84.474052,0,2.1217391,.041779298,.1584432,0,1978,2276.96875,,276.7006090472028,,,,,
1043,2086,196.859,109.606,0,0,0,.25560001,69.384613,0,2.704,.042610701,.1602,0,1992,2163.722685185185,65993.54189814815,286.0969068287037,235.9843184027778,50.11258842592593,.38913274,335232.53,254560.81
1043,2303,206.05,110.429,0,0,0,.25531557,84.474052,0,2.1217391,.041779298,.1584432,0,1982,2012.450908511317,,200.7656198597386,,,,,
1043,2210,193.771,100.044,0,0,.055639099,.25690225,75.064659,0,2.4815037,.042195,.15464662,0,1987,1868.500819672131,72712.26857923497,280.1400334699454,241.9808101092896,38.15922336065574,.61287963,375248.47,196929.48
1045,422,130.975,62.655,0,.19359331,.054317549,.16094707,86.281334,.019498607,9.5679665,.1035536,.090759054,0,1997,1244.672919723329,26170.85715782855,37.45909149025362,33.37708792705931,4.082003563194299,.60651898,199815.67,31166.281
1045,459,139.364,62.37,0,.19359331,.054317549,.16094707,86.281334,.019498607,9.5679665,.1035536,.090759054,0,2002,1422,23118,44.564,35.82,8.744,1.678,165882.16,62742.172
1045,674,160.456,69.126,0,.16372202,.084805652,.16729093,86.036514,.067137808,9.3332157,.103276,.09219081,0,1978,1278.37805944056,,40.53732277097902,,,,,
1045,582,134.743,65.584,0,.16372202,.084805652,.16729093,86.036514,.067137808,9.3332157,.103276,.09219081,0,1982,1272.50605674211,,35.78944022951865,,,,,
1045,490,129.105,63.012,0,.18596059,.088669948,.16421182,85.942116,.022167487,9.444335,.1034148,.090972908,0,1987,1161.769535519126,24156.84316939891,32.93197144808743,26.97239234972677,5.959579098360655,.69535536,187110.05,46160.715
1045,403,134.555,67.54900000000001,0,.18533333,.052000001,.16121334,86.23333,.018666666,9.5584002,.1035536,.090446666,0,1992,1119.208449074074,23890.10069444445,41.94441481481481,33.30398101851852,8.640433796296296,.8830784,177548.97,64214.883
